instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
3,4,10,BackTracking,U,5.23680355399847e-05,{}
4,4,10,BackTracking,S,3.2491981983184814e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,2.6657013222575188e-05,"{1: False, 2: False, 3: True, 4: True}"
