instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",BestCase,0.00011808285489678383
0,10,"[2, 2, 2, 2, 2]",BestCase,0.00011808285489678383
0,10,"[1, 1, 2, 2, 2, 2]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 2, 2, 2]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 1, 2, 2]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",BestCase,0.00011808285489678383
0,10,"[2, 2, 3, 3]",BestCase,0.00011808285489678383
0,10,"[1, 3, 3, 3]",BestCase,0.00011808285489678383
0,10,"[1, 2, 2, 2, 3]",BestCase,0.00011808285489678383
0,10,"[1, 1, 2, 3, 3]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 2, 2, 3]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 3, 3]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 2, 3]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 1, 1, 3]",BestCase,0.00011808285489678383
0,10,"[3, 3, 4]",BestCase,0.00011808285489678383
0,10,"[2, 4, 4]",BestCase,0.00011808285489678383
0,10,"[2, 2, 2, 4]",BestCase,0.00011808285489678383
0,10,"[1, 2, 3, 4]",BestCase,0.00011808285489678383
0,10,"[1, 1, 4, 4]",BestCase,0.00011808285489678383
0,10,"[1, 1, 2, 2, 4]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 3, 4]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 2, 4]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 1, 4]",BestCase,0.00011808285489678383
0,10,"[5, 5]",BestCase,0.00011808285489678383
0,10,"[2, 3, 5]",BestCase,0.00011808285489678383
0,10,"[1, 4, 5]",BestCase,0.00011808285489678383
0,10,"[1, 2, 2, 5]",BestCase,0.00011808285489678383
0,10,"[1, 1, 3, 5]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 2, 5]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 1, 5]",BestCase,0.00011808285489678383
0,10,"[4, 6]",BestCase,0.00011808285489678383
0,10,"[2, 2, 6]",BestCase,0.00011808285489678383
0,10,"[1, 3, 6]",BestCase,0.00011808285489678383
0,10,"[1, 1, 2, 6]",BestCase,0.00011808285489678383
0,10,"[1, 1, 1, 1, 6]",BestCase,0.00011808285489678383
