instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
3,4,10,BruteForce,U,4.4931890442967415e-05,{}
4,4,10,BruteForce,S,8.946051821112633e-06,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BruteForce,S,2.4981098249554634e-05,"{1: False, 2: False, 3: True, 4: True}"
